"","Code_Region","Region","descr_grav","accidents_100k"
"1","1","['GUADELOUPE']",1,0.104476117804231
"2","1","['GUADELOUPE']",2,0.0199454406717169
"3","1","['GUADELOUPE']",3,0.0740830653520912
"4","1","['GUADELOUPE']",4,0.0465393615673393
"5","11","['ILE-DE-FRANCE']",4,0.00319503218409774
"6","11","['ILE-DE-FRANCE']",3,0.00145565666307493
"7","11","['ILE-DE-FRANCE']",2,0.000145693467594857
"8","11","['ILE-DE-FRANCE']",1,0.00362316649676684
"9","2","['MARTINIQUE']",1,0.0953862174635394
"10","2","['MARTINIQUE']",2,0.0110914206352953
"11","2","['MARTINIQUE']",3,0.0842947968282441
"12","2","['MARTINIQUE']",4,0.0576753873035354
"13","21","['CHAMPAGNE-ARDENNE']",1,0.0288230154882691
"14","21","['CHAMPAGNE-ARDENNE']",2,0.00353102468944607
"15","21","['CHAMPAGNE-ARDENNE']",3,0.0219251998158628
"16","21","['CHAMPAGNE-ARDENNE']",4,0.0183941751264167
"17","22","['PICARDIE']",1,0.0190253014964086
"18","22","['PICARDIE']",2,0.00307643173133415
"19","22","['PICARDIE']",3,0.0155440761162147
"20","22","['PICARDIE']",4,0.0134121628988866
"21","23","['HAUTE-NORMANDIE']",3,0.0135324151759578
"22","23","['HAUTE-NORMANDIE']",2,0.00159601574334386
"23","23","['HAUTE-NORMANDIE']",1,0.0219620757922106
"24","23","['HAUTE-NORMANDIE']",4,0.0162523856681354
"25","24","['CENTRE']",1,0.0148767373968957
"26","24","['CENTRE']",2,0.00212062306745738
"27","24","['CENTRE']",3,0.0103602959020819
"28","24","['CENTRE']",4,0.010959250508921
"29","25","['BASSE-NORMANDIE']",1,0.0257010919127643
"30","25","['BASSE-NORMANDIE']",2,0.00245115603095088
"31","25","['BASSE-NORMANDIE']",3,0.0182034381710322
"32","25","['BASSE-NORMANDIE']",4,0.0196452946598269
"33","26","['BOURGOGNE']",1,0.0228233113601066
"34","26","['BOURGOGNE']",2,0.00258169827659448
"35","26","['BOURGOGNE']",3,0.0151331462808889
"36","26","['BOURGOGNE']",4,0.0184838610654052
"37","3","['GUYANE']",2,0.0649478520706155
"38","3","['GUYANE']",1,0.207833126625969
"39","3","['GUYANE']",3,0.142885274555354
"40","3","['GUYANE']",4,0.0259791408282462
"41","31","['NORD-PAS-DE-CALAIS']",1,0.0101552788058237
"42","31","['NORD-PAS-DE-CALAIS']",2,0.000615309305937686
"43","31","['NORD-PAS-DE-CALAIS']",3,0.00585881469566753
"44","31","['NORD-PAS-DE-CALAIS']",4,0.00774754673911104
"45","4","['REUNION']",1,0.0500022960418271
"46","4","['REUNION']",2,0.00459385051974383
"47","4","['REUNION']",3,0.0212023870142023
"48","4","['REUNION']",4,0.0454084455220833
"49","41","['LORRAINE']",1,0.017525661885747
"50","41","['LORRAINE']",2,0.0011015423077906
"51","41","['LORRAINE']",3,0.0087628309428735
"52","41","['LORRAINE']",4,0.0141839043227868
"53","42","['ALSACE']",1,0.0221214494936867
"54","42","['ALSACE']",4,0.0192795366604792
"55","42","['ALSACE']",3,0.0105264451342003
"56","42","['ALSACE']",2,0.00134138285727391
"57","43","['FRANCHE-COMTE']",1,0.0308333129754408
"58","43","['FRANCHE-COMTE']",2,0.00587792254046865
"59","43","['FRANCHE-COMTE']",3,0.0324832561446951
"60","43","['FRANCHE-COMTE']",4,0.0138182740425052
"61","52","['PAYS DE LA LOIRE']",1,0.0114260389302216
"62","52","['PAYS DE LA LOIRE']",2,0.00120466225142911
"63","52","['PAYS DE LA LOIRE']",3,0.00801891337062411
"64","52","['PAYS DE LA LOIRE']",4,0.006802082813625
"65","53","['BRETAGNE']",1,0.0121748700395515
"66","53","['BRETAGNE']",2,0.000936528464580886
"67","53","['BRETAGNE']",3,0.00686455438400245
"68","53","['BRETAGNE']",4,0.010540926760921
"69","54","['POITOU-CHARENTES']",1,0.0214418931506572
"70","54","['POITOU-CHARENTES']",2,0.0020526841193824
"71","54","['POITOU-CHARENTES']",3,0.0117720197689882
"72","54","['POITOU-CHARENTES']",4,0.0198591005766755
"73","72","['AQUITAINE']",1,0.0125715840708422
"74","72","['AQUITAINE']",2,0.0010276882835067
"75","72","['AQUITAINE']",4,0.00966449324147051
"76","72","['AQUITAINE']",3,0.00709527253270377
"77","73","['MIDI-PYRENEES']",1,0.0129571528253213
"78","73","['MIDI-PYRENEES']",2,0.00150227858844305
"79","73","['MIDI-PYRENEES']",3,0.00823905913349234
"80","73","['MIDI-PYRENEES']",4,0.0112670894133229
"81","74","['LIMOUSIN']",1,0.0461983636077627
"82","74","['LIMOUSIN']",2,0.00769972726796044
"83","74","['LIMOUSIN']",4,0.0288739772548517
"84","74","['LIMOUSIN']",3,0.0481232954247528
"85","82","['RHONE-ALPES']",2,0.000495705486642169
"86","82","['RHONE-ALPES']",1,0.00653063158564625
"87","82","['RHONE-ALPES']",3,0.00345841037192211
"88","82","['RHONE-ALPES']",4,0.00532306996411678
"89","83","['AUVERGNE']",1,0.030069255509289
"90","83","['AUVERGNE']",2,0.00255455622025818
"91","83","['AUVERGNE']",3,0.0156466568490814
"92","83","['AUVERGNE']",4,0.0238957446436651
"93","91","['LANGUEDOC-ROUSSILLON']",1,0.014964981547048
"94","91","['LANGUEDOC-ROUSSILLON']",4,0.0111713377655135
"95","91","['LANGUEDOC-ROUSSILLON']",3,0.0100290527594713
"96","91","['LANGUEDOC-ROUSSILLON']",2,0.00132043954826895
"97","93","[""PROVENCE-ALPES-COTE D'AZUR""]",3,0.00471427510127389
"98","93","[""PROVENCE-ALPES-COTE D'AZUR""]",2,0.000449998986939781
"99","93","[""PROVENCE-ALPES-COTE D'AZUR""]",1,0.0082285529040417
"100","93","[""PROVENCE-ALPES-COTE D'AZUR""]",4,0.0067178420193153
